"seq","id","date","number_passengers","duration"
"61",64,1995-01-11,83,1.0016097
"62",65,1995-01-11,75,1.0823095
"63",66,1995-01-12,37,2.172554
"64",67,1995-01-12,37,2.0934942
"65",68,1995-01-12,76,1.012934
"66",69,1995-01-12,70,1.0488294
"67",70,1995-01-12,72,1.1268723
"68",71,1995-01-12,75,1.0599803
"69",72,1995-01-13,34,2.018578
"70",73,1995-01-13,38,1.9275295
"71",74,1995-01-13,70,0.98749167
"72",75,1995-01-13,82,1.0639733
"73",76,1995-01-13,77,1.023373
"74",77,1995-01-13,77,1.0170594
"75",78,1995-01-14,38,1.9392736
"76",79,1995-01-14,41,1.8537711
"77",80,1995-01-14,74,1.0035034
"78",81,1995-01-14,80,0.9749364
"79",82,1995-01-14,76,1.0569665
"80",83,1995-01-14,80,0.9676941
"81",84,1995-01-15,33,2.136205
"82",85,1995-01-15,29,2.1348007
"83",86,1995-01-15,37,2.1453865
"84",87,1995-01-15,31,2.2320204
"85",88,1995-01-15,58,1.2436059
"86",89,1995-01-15,67,1.1960592
"87",90,1995-01-16,30,2.148964
"88",92,1995-01-16,34,2.0501835
"89",93,1995-01-16,37,1.995932
"90",94,1995-01-16,75,1.0255511
"91",95,1995-01-16,73,1.0621917
"92",96,1995-01-17,39,2.095311
"93",97,1995-01-17,37,2.0480146
"94",98,1995-01-17,74,1.0079716
"95",99,1995-01-17,80,0.9779987
"96",100,1995-01-17,83,1.0282916
"97",101,1995-01-17,77,0.98439866
"98",102,1995-01-18,26,2.11115
"99",103,1995-01-18,35,2.1418772
"100",104,1995-01-18,67,1.1000278
"101",105,1995-01-18,71,1.113115
"102",106,1995-01-18,70,1.0421045
"103",107,1995-01-18,63,1.1846828
"104",108,1995-01-19,45,2.0553179
"105",109,1995-01-19,38,1.9257483
"106",110,1995-01-19,82,1.030819
"107",111,1995-01-19,75,1.0621446
"108",112,1995-01-19,79,1.04954
"109",113,1995-01-19,78,1.1175811
"110",114,1995-01-20,36,2.0798926
"111",116,1995-01-20,77,1.064782
"112",117,1995-01-20,79,0.9865546
"113",118,1995-01-20,75,1.0103601
"114",119,1995-01-20,84,1.0648699
"115",120,1995-01-21,37,2.0483956
"116",121,1995-01-21,38,2.0266788
"117",123,1995-01-21,76,0.99184406
"118",124,1995-01-21,75,1.0048313
"119",125,1995-01-21,75,1.0274993
"120",126,1995-01-22,42,2.068937
"121",127,1995-01-22,29,2.1974447
"122",128,1995-01-22,37,2.0875204
"123",129,1995-01-22,39,2.090482
"124",130,1995-01-22,71,1.1346167
"125",131,1995-01-22,68,1.1141346
"126",132,1995-01-23,40,2.0496755
"127",133,1995-01-23,34,2.0341775
"128",134,1995-01-23,38,2.0153577
"129",135,1995-01-23,33,2.0045617
"130",136,1995-01-23,71,1.078705
"131",137,1995-01-23,68,1.0360606
"132",139,1995-01-24,38,2.1126971
"133",140,1995-01-24,74,1.1012611
"134",141,1995-01-24,74,1.0806608
"135",142,1995-01-24,74,1.1134427
"136",143,1995-01-24,70,1.1120877
"137",144,1995-01-25,36,2.001204
"138",145,1995-01-25,36,2.0229537
"139",146,1995-01-25,82,1.050462
"140",147,1995-01-25,71,1.0823237
"141",149,1995-01-25,76,0.979822
"142",150,1995-01-26,37,1.9881887
"143",151,1995-01-26,37,2.0906892
"144",152,1995-01-26,68,1.1178945
"145",153,1995-01-26,73,1.0643513
"146",154,1995-01-26,73,1.0468743
"147",157,1995-01-27,37,1.9847478
"148",158,1995-01-27,78,0.9684622
"149",159,1995-01-27,77,0.98152703
"150",161,1995-01-27,75,1.0166028
"151",162,1995-01-28,37,1.9942245
"152",163,1995-01-28,37,1.9966283
"153",164,1995-01-28,76,1.0308688
"154",165,1995-01-28,78,0.9940974
"155",166,1995-01-28,72,1.0416614
"156",167,1995-01-28,76,1.0472844
"157",168,1995-01-29,38,2.0336742
"158",169,1995-01-29,40,2.0871048
"159",170,1995-01-29,35,1.9803749
"160",171,1995-01-29,39,1.9779365
"161",172,1995-01-29,81,0.9633726
"162",173,1995-01-29,77,1.0806326
"163",174,1995-01-30,29,2.1434693
"164",175,1995-01-30,38,2.114658
"165",176,1995-01-30,31,2.04659
"166",177,1995-01-30,29,2.2305608
"167",178,1995-01-30,75,1.0920112
"168",179,1995-01-30,67,1.1348815
"169",180,1995-01-31,38,2.188175
"170",181,1995-01-31,38,2.0266871
"171",182,1995-01-31,75,1.0805467
"172",184,1995-01-31,75,1.0841551
"173",185,1995-01-31,83,1.0913886
"174",186,1995-02-01,38,2.0328116
"175",187,1995-02-01,38,2.0530005
"176",188,1995-02-01,75,1.0698496
"177",189,1995-02-01,77,1.0173732
"178",190,1995-02-01,75,1.0083485
"179",191,1995-02-01,80,0.95508754
"180",192,1995-02-02,34,2.1595592
"181",193,1995-02-02,40,2.0503728
"182",194,1995-02-02,75,1.0766118
"183",195,1995-02-02,75,1.0663266
"184",196,1995-02-02,73,1.0051872
"185",197,1995-02-02,75,1.0841737
"186",198,1995-02-03,37,1.9569619
"187",199,1995-02-03,33,2.118388
"188",200,1995-02-03,81,1.0551834
"189",201,1995-02-03,82,1.059744
"190",202,1995-02-03,74,1.0634352
"191",203,1995-02-03,70,0.9767181
"192",204,1995-02-04,37,1.9746555
"193",206,1995-02-04,75,1.099449
"194",207,1995-02-04,78,1.0967766
"195",208,1995-02-04,79,1.0283465
"196",209,1995-02-04,74,1.0502375
"197",210,1995-02-05,36,2.041644
"198",212,1995-02-05,37,2.0661185
"199",213,1995-02-05,37,2.0725715
"200",214,1995-02-05,75,1.0376071
"201",215,1995-02-05,75,1.0410856
"202",216,1995-02-06,38,2.007885
"203",217,1995-02-06,34,1.9889222
"204",218,1995-02-06,38,1.9552833
"205",219,1995-02-06,38,2.0250452
"206",220,1995-02-06,76,1.0482633
"207",228,1995-02-08,37,1.8890082
"208",229,1995-02-08,37,2.099398
"209",230,1995-02-08,78,0.9508551
"210",231,1995-02-08,80,0.9334722
"211",232,1995-02-08,77,0.98320127
"212",233,1995-02-08,77,0.98267347
"213",234,1995-02-09,39,2.1526327
"214",235,1995-02-09,38,1.9763055
"215",236,1995-02-09,76,1.0353748
"216",237,1995-02-09,78,1.0107789
"217",238,1995-02-09,77,1.0319597
"218",239,1995-02-09,80,0.97021526
"219",240,1995-02-10,37,1.9846485
"220",241,1995-02-10,39,2.0166295
"221",242,1995-02-10,76,1.0232009
"222",243,1995-02-10,77,1.0402005
"223",244,1995-02-10,80,1.0037199
"224",245,1995-02-10,76,1.0326965
"225",246,1995-02-11,39,2.0830505
"226",247,1995-02-11,39,1.9350002
"227",248,1995-02-11,68,1.0799317
"228",249,1995-02-11,77,1.0548564
"229",250,1995-02-11,63,1.1504046
"230",251,1995-02-11,77,1.0713404
"231",252,1995-02-12,38,2.0848935
"232",253,1995-02-12,38,2.009575
"233",254,1995-02-12,38,2.053023
"234",255,1995-02-12,39,2.094326
"235",256,1995-02-12,73,1.1095691
"236",257,1995-02-12,74,1.0807558
"237",258,1995-02-13,36,2.0484686
"238",259,1995-02-13,38,2.0830386
"239",260,1995-02-13,38,2.002883
"240",261,1995-02-13,39,2.0436826
"241",262,1995-02-13,79,1.012608
"242",263,1995-02-13,78,1.0247575
"243",264,1995-02-14,38,2.1837673
"244",265,1995-02-14,38,2.0836582
"245",266,1995-02-14,71,1.1437271
"246",267,1995-02-14,78,1.1063423
"247",268,1995-02-14,71,1.1187745
"248",269,1995-02-14,73,1.1260705
"249",270,1995-02-15,38,1.9523528
"250",271,1995-02-15,41,2.0990062
"251",272,1995-02-15,80,1.0755965
"252",273,1995-02-15,78,1.0511976
"253",274,1995-02-15,77,1.0337645
"254",275,1995-02-15,81,1.0368601
"255",276,1995-02-16,39,2.0921159
"256",277,1995-02-16,40,2.088833
"257",278,1995-02-16,80,1.0522456
"258",279,1995-02-16,75,1.0981624
"259",280,1995-02-16,80,1.0695142
"260",281,1995-02-16,76,1.0480021
"261",282,1995-02-17,40,1.9410492
"262",283,1995-02-17,41,2.0659266
"263",284,1995-02-17,78,1.0208888
"264",285,1995-02-17,85,1.003504
"265",287,1995-02-17,87,0.97215295
"266",288,1995-02-18,43,2.0762882
"267",289,1995-02-18,43,1.9653467
"268",290,1995-02-18,75,0.9699014
"269",291,1995-02-18,83,1.0709878
"270",292,1995-02-18,77,1.0294893
"271",293,1995-02-18,79,0.9876132
"272",294,1995-02-19,38,1.9620844
"273",295,1995-02-19,38,1.9934205
"274",296,1995-02-19,38,1.9983028
"275",297,1995-02-19,38,2.11302
"276",298,1995-02-19,77,1.0156921
"277",299,1995-02-19,81,1.0214717
"278",300,1995-02-20,40,1.979075
"279",301,1995-02-20,41,1.9067359
"280",302,1995-02-20,40,1.9665494
"281",303,1995-02-20,40,1.9886636
"282",304,1995-02-20,75,1.014141
"283",305,1995-02-20,85,0.9332126
"284",306,1995-02-21,40,2.0942292
"285",307,1995-02-21,37,2.0386503
"286",308,1995-02-21,75,1.0383899
"287",310,1995-02-21,75,1.0496149
"288",311,1995-02-21,73,1.0996583
"289",312,1995-02-22,39,2.052775
"290",313,1995-02-22,39,2.0468419
"291",314,1995-02-22,69,1.0548679
"292",315,1995-02-22,79,1.036727
"293",316,1995-02-22,79,1.0262265
"294",317,1995-02-22,72,1.0731956
"295",318,1995-02-23,39,2.057902
"296",319,1995-02-23,39,1.9249657
"297",320,1995-02-23,75,1.1321045
"298",321,1995-02-23,83,1.0776167
"299",322,1995-02-23,79,1.0380735
"300",323,1995-02-23,79,1.0048323
"301",324,1995-02-24,38,2.0673926
"302",325,1995-02-24,37,2.0130413
"303",326,1995-02-24,76,1.0405862
"304",327,1995-02-24,78,0.9995344
"305",328,1995-02-24,78,0.9925176
"306",329,1995-02-24,87,1.0127603
"307",330,1995-02-25,41,2.1471577
"308",331,1995-02-25,43,2.0918968
"309",332,1995-02-25,78,1.0553803
"310",333,1995-02-25,77,1.0623215
"311",334,1995-02-25,70,1.0198967
"312",335,1995-02-25,70,1.0648313
"313",336,1995-02-26,40,2.0061955
"314",337,1995-02-26,38,2.0485115
"315",338,1995-02-26,38,2.0443096
"316",340,1995-02-26,81,1.0116034
"317",341,1995-02-26,75,1.0657754
"318",342,1995-02-27,44,2.172698
"319",343,1995-02-27,42,1.9719085
"320",344,1995-02-27,40,2.0298958
"321",345,1995-02-27,40,2.1640527
"322",346,1995-02-27,81,1.0310342
"323",348,1995-02-28,37,2.078007
"324",349,1995-02-28,37,1.9857439
"325",350,1995-02-28,72,1.1038594
"326",351,1995-02-28,76,1.0329103
"327",352,1995-02-28,70,1.0780827
"328",353,1995-02-28,69,1.0399044
"329",360,1995-03-02,40,2.1358523
"330",361,1995-03-02,37,2.1705918
"331",362,1995-03-02,75,1.1314467
"332",363,1995-03-02,76,1.050035
"333",365,1995-03-02,78,1.0697234
"334",366,1995-03-03,38,2.0845704
"335",368,1995-03-03,76,1.0714115
"336",369,1995-03-03,85,1.001187
"337",370,1995-03-03,82,1.0358754
"338",371,1995-03-03,77,1.049727
"339",372,1995-03-04,40,2.0649743
"340",373,1995-03-04,40,2.0042748
"341",374,1995-03-04,78,1.0479714
"342",375,1995-03-04,78,1.0732515
"343",376,1995-03-04,81,1.0161175
"344",377,1995-03-04,82,0.9982642
"345",378,1995-03-05,38,1.9304135
"346",379,1995-03-05,38,1.9590408
"347",380,1995-03-05,37,2.0263727
"348",381,1995-03-05,38,2.049876
"349",382,1995-03-05,74,1.042415
"350",383,1995-03-05,87,1.0534904
"351",384,1995-03-06,44,2.1240346
"352",385,1995-03-06,38,2.0896769
"353",386,1995-03-06,38,1.9000115
"354",387,1995-03-06,38,1.9751227
"355",388,1995-03-06,80,0.9891863
"356",389,1995-03-06,77,1.0433882
"357",390,1995-03-07,42,2.0605013
"358",391,1995-03-07,35,2.0437572
"359",392,1995-03-07,82,1.0575347
"360",393,1995-03-07,79,1.041496
"361",394,1995-03-07,77,1.0777956
"362",395,1995-03-07,84,1.0541457
"363",396,1995-03-08,37,2.0593462
"364",397,1995-03-08,39,2.1304734
"365",398,1995-03-08,71,1.1167176
"366",399,1995-03-08,76,1.1361086
"367",400,1995-03-08,75,1.1123055
"368",401,1995-03-08,77,1.0741743
"369",402,1995-03-09,33,2.1116223
"370",403,1995-03-09,36,2.0517607
"371",404,1995-03-09,70,1.1092374
"372",405,1995-03-09,81,1.0582517
"373",406,1995-03-09,81,1.0650811
"374",407,1995-03-09,78,1.0834849
"375",408,1995-03-10,41,2.1461952
"376",409,1995-03-10,38,1.9903325
"377",410,1995-03-10,76,1.0966308
"378",411,1995-03-10,78,1.0466797
"379",412,1995-03-10,79,1.022851
"380",413,1995-03-10,81,1.0502658
"381",414,1995-03-11,39,2.104973
"382",417,1995-03-11,74,1.1475754
"383",418,1995-03-11,79,1.0475843
"384",419,1995-03-11,77,1.0217905
"385",420,1995-03-12,36,2.0065374
"386",421,1995-03-12,37,2.0505185
"387",422,1995-03-12,38,1.9515133
"388",423,1995-03-12,35,2.0972748
"389",424,1995-03-12,79,1.0612127
"390",425,1995-03-12,81,1.0266519
"391",426,1995-03-13,39,2.0003586
"392",427,1995-03-13,35,2.130541
"393",429,1995-03-13,39,2.0141752
"394",430,1995-03-13,86,1.0021772
"395",431,1995-03-13,74,1.0558919
"396",432,1995-03-14,42,2.1201515
"397",433,1995-03-14,42,1.965726
"398",434,1995-03-14,78,1.0191483
"399",435,1995-03-14,82,0.9828668
"400",436,1995-03-14,79,1.0453119
"401",437,1995-03-14,81,1.0028534
"402",438,1995-03-15,39,2.0608342
"403",439,1995-03-15,40,2.036166
"404",440,1995-03-15,79,1.077387
"405",442,1995-03-15,79,1.0858201
"406",443,1995-03-15,80,1.0669795
"407",444,1995-03-16,40,2.084163
"408",445,1995-03-16,41,2.104159
"409",446,1995-03-16,83,0.9855815
"410",447,1995-03-16,82,1.0208569
"411",448,1995-03-16,81,1.051399
"412",449,1995-03-16,83,0.99186724
"413",450,1995-03-17,40,2.1124825
"414",451,1995-03-17,37,2.1458123
"415",452,1995-03-17,73,1.1144763
"416",453,1995-03-17,83,1.1006002
"417",455,1995-03-17,79,1.0841312
"418",456,1995-03-18,35,2.3065958
"419",457,1995-03-18,40,2.2386878
"420",458,1995-03-18,70,1.2843982
"421",459,1995-03-18,56,1.2954383
"422",460,1995-03-18,70,1.3133489
"423",461,1995-03-18,63,1.292948
"424",462,1995-03-19,41,2.0282183
"425",463,1995-03-19,46,2.0852058
"426",465,1995-03-19,41,2.0558903
"427",466,1995-03-19,86,1.082868
"428",467,1995-03-19,84,1.0711982
"429",468,1995-03-20,43,2.1608248
"430",469,1995-03-20,42,2.0123575
"431",470,1995-03-20,40,2.1123579
"432",472,1995-03-20,82,1.0313904
"433",474,1995-03-21,41,2.1565728
"434",475,1995-03-21,41,2.0076375
"435",477,1995-03-21,76,1.0485361
"436",479,1995-03-21,80,1.0070201
"437",480,1995-03-22,40,2.1177003
"438",481,1995-03-22,40,2.0242074
"439",482,1995-03-22,78,1.0634761
"440",483,1995-03-22,77,1.0772142
"441",485,1995-03-22,78,1.0745821
"442",486,1995-03-23,47,2.01602
"443",487,1995-03-23,41,2.114614
"444",488,1995-03-23,80,1.0815129
"445",489,1995-03-23,78,1.1131073
"446",490,1995-03-23,76,1.1008003
"447",491,1995-03-23,79,1.1426603
"448",493,1995-03-24,39,2.1789138
"449",494,1995-03-24,77,1.0670881
"450",495,1995-03-24,78,1.1041169
"451",496,1995-03-24,71,1.1108251
"452",497,1995-03-24,77,1.0637298
"453",498,1995-03-25,41,2.17663
"454",499,1995-03-25,41,2.0898645
"455",500,1995-03-25,79,1.1206087
"456",501,1995-03-25,82,1.0437529
"457",502,1995-03-25,82,1.036669
"458",503,1995-03-25,81,1.0557593
"459",511,1995-03-27,43,2.09857
"460",512,1995-03-27,36,2.0033095
"461",513,1995-03-27,40,1.9686607
"462",514,1995-03-27,84,1.01288
"463",515,1995-03-27,80,1.0822738
"464",522,1995-03-29,41,1.9819001
"465",523,1995-03-29,41,2.0773559
"466",525,1995-03-29,82,1.0448934
"467",526,1995-03-29,85,1.0287517
"468",527,1995-03-29,81,1.0672364
"469",534,1995-03-31,45,1.9639544
"470",535,1995-03-31,40,2.0484483
"471",536,1995-03-31,81,1.0305328
"472",537,1995-03-31,81,1.051229
"473",538,1995-03-31,88,1.0322722
"474",539,1995-03-31,82,1.0221897
"475",540,1995-04-01,41,1.9135952
"476",541,1995-04-01,42,2.0585878
"477",542,1995-04-01,82,1.017839
"478",543,1995-04-01,84,1.0301757
"479",544,1995-04-01,80,1.0693561
"480",545,1995-04-01,84,1.0103638
"481",546,1995-04-02,35,1.9893779
"482",547,1995-04-02,40,1.9987332
"483",548,1995-04-02,40,2.0620265
"484",549,1995-04-02,35,1.9721305
"485",551,1995-04-02,78,1.0657849
"486",552,1995-04-03,41,2.0233595
"487",553,1995-04-03,42,2.0654862
"488",554,1995-04-03,41,2.1183405
"489",555,1995-04-03,41,2.18962
"490",556,1995-04-03,78,1.1532269
"491",557,1995-04-03,80,1.103649
"492",558,1995-04-04,37,2.2673051
"493",559,1995-04-04,38,2.1027238
"494",560,1995-04-04,80,1.1091132
"495",561,1995-04-04,81,1.0598782
"496",563,1995-04-04,79,1.0849019
"497",564,1995-04-05,38,2.0964794
"498",566,1995-04-05,79,1.1093485
"499",567,1995-04-05,79,1.1001353
"500",568,1995-04-05,80,1.1146319
"501",569,1995-04-05,81,1.1310538
"502",570,1995-04-06,41,2.0998628
"503",571,1995-04-06,41,1.9658936
"504",572,1995-04-06,78,1.0612589
"505",573,1995-04-06,83,0.9636944
"506",574,1995-04-06,80,1.0704595
"507",575,1995-04-06,81,1.0472226
"508",582,1995-04-08,43,2.0531147
"509",583,1995-04-08,43,2.000578
"510",584,1995-04-08,87,1.0915525
"511",585,1995-04-08,86,1.0854273
"512",586,1995-04-08,89,0.99408257
"513",587,1995-04-08,85,1.0159618
"514",588,1995-04-09,38,2.1296115
"515",589,1995-04-09,41,2.0886536
"516",590,1995-04-09,41,2.0926857
"517",591,1995-04-09,40,2.0583231
"518",592,1995-04-09,77,1.1084682
"519",593,1995-04-09,84,1.0847453
"520",594,1995-04-10,44,1.9034537
"521",596,1995-04-10,41,1.9954611
"522",597,1995-04-10,41,2.0789442
"523",598,1995-04-10,86,0.9686221
"524",599,1995-04-10,77,1.0287045
"525",600,1995-04-11,42,2.2840772
"526",601,1995-04-11,36,2.1727006
"527",602,1995-04-11,69,1.1455576
"528",603,1995-04-11,63,1.1922421
"529",604,1995-04-11,70,1.1760212
"530",605,1995-04-11,70,1.1581618
"531",606,1995-04-12,41,1.8867346
"532",607,1995-04-12,40,2.0020673
"533",608,1995-04-12,81,1.0349858
"534",609,1995-04-12,87,1.0905356
"535",610,1995-04-12,84,1.0658575
"536",611,1995-04-12,80,1.0775799
"537",612,1995-04-13,43,2.045813
"538",613,1995-04-13,41,2.1052382
"539",614,1995-04-13,75,1.1002749
"540",615,1995-04-13,80,1.0826842
"541",616,1995-04-13,82,1.0401462
"542",617,1995-04-13,82,1.023121
"543",618,1995-04-14,42,1.990214
"544",620,1995-04-14,86,1.0192571
"545",621,1995-04-14,91,1.0058255
"546",622,1995-04-14,88,0.9712023
"547",623,1995-04-14,86,1.0252821
"548",624,1995-04-15,41,2.1260889
"549",625,1995-04-15,42,2.067563
"550",626,1995-04-15,85,0.9875187
"551",627,1995-04-15,87,0.99344933
"552",628,1995-04-15,89,0.9522045
"553",630,1995-04-16,44,2.1184125
"554",633,1995-04-16,44,2.0364547
"555",634,1995-04-16,89,1.007407
"556",635,1995-04-16,86,1.087372
"557",636,1995-04-17,43,2.0469668
"558",637,1995-04-17,43,2.0705454
"559",638,1995-04-17,43,1.9991903
"560",639,1995-04-17,41,2.0400321
"561",640,1995-04-17,90,1.0385624
"562",641,1995-04-17,86,1.041448
"563",642,1995-04-18,39,2.0908394
"564",643,1995-04-18,43,2.053027
"565",644,1995-04-18,84,1.089866
"566",645,1995-04-18,89,0.9775897
"567",646,1995-04-18,79,1.0505741
"568",647,1995-04-18,89,0.99571717
"569",648,1995-04-19,46,1.9449031
"570",649,1995-04-19,47,1.9840701
"571",650,1995-04-19,89,0.99956715
"572",651,1995-04-19,89,1.0493056
"573",652,1995-04-19,80,1.1380575
"574",654,1995-04-20,42,1.9316864
"575",655,1995-04-20,42,2.1144369
"576",656,1995-04-20,87,0.9970799
"577",657,1995-04-20,84,1.036495
"578",658,1995-04-20,86,1.0244347
"579",659,1995-04-20,89,1.0262107
"580",660,1995-04-21,40,2.058733
"581",662,1995-04-21,88,0.97057503
"582",663,1995-04-21,89,1.0306056
"583",664,1995-04-21,88,0.9720232
"584",665,1995-04-21,86,0.96135914
"585",666,1995-04-22,42,2.2038639
"586",667,1995-04-22,43,1.9233613
"587",668,1995-04-22,82,1.0438765
"588",669,1995-04-22,89,0.96903956
"589",670,1995-04-22,81,0.9671809
"590",671,1995-04-22,82,1.0437216
"591",672,1995-04-23,40,2.0182054
"592",673,1995-04-23,40,1.9967942
"593",674,1995-04-23,29,2.081897
"594",675,1995-04-23,40,2.1097448
"595",676,1995-04-23,80,1.0753809
"596",677,1995-04-23,83,1.051896
"597",678,1995-04-24,43,2.0377655
"598",679,1995-04-24,43,2.146716
"599",680,1995-04-24,47,2.028871
"600",681,1995-04-24,42,2.0463266
"601",682,1995-04-24,89,1.0262411
"602",683,1995-04-24,87,1.027161
"603",684,1995-04-25,43,1.9981321
"604",685,1995-04-25,43,2.0666397
"605",686,1995-04-25,88,1.0119631
"606",687,1995-04-25,85,1.0765722
"607",688,1995-04-25,89,1.052074
"608",689,1995-04-25,85,1.0693375
"609",690,1995-04-26,43,1.9658295
"610",691,1995-04-26,42,2.0221303
"611",692,1995-04-26,86,1.0267023
"612",693,1995-04-26,84,1.0606203
"613",694,1995-04-26,85,1.052378
"614",695,1995-04-26,88,0.9846705
"615",696,1995-04-27,42,1.907097
"616",697,1995-04-27,40,1.9865712
"617",698,1995-04-27,82,1.1111387
"618",699,1995-04-27,85,1.0566151
"619",700,1995-04-27,82,1.0466357
"620",701,1995-04-27,85,1.0594755
"621",702,1995-04-28,43,2.1024384
"622",704,1995-04-28,86,1.030703
"623",705,1995-04-28,87,1.0064328
"624",706,1995-04-28,87,1.0052638
"625",707,1995-04-28,88,0.99334985
"626",708,1995-04-29,43,2.1363676
"627",709,1995-04-29,47,1.9574554
"628",710,1995-04-29,85,1.0453054
"629",711,1995-04-29,76,1.1083467
"630",712,1995-04-29,84,1.0666333
"631",713,1995-04-29,78,1.0303767
"632",714,1995-04-30,44,2.062048
"633",715,1995-04-30,43,2.1057885
"634",716,1995-04-30,43,2.0594375
"635",717,1995-04-30,43,2.0326424
"636",718,1995-04-30,85,1.0733441
"637",720,1995-05-01,43,1.9574509
"638",721,1995-05-01,43,2.0570998
"639",723,1995-05-01,43,2.0703015
"640",724,1995-05-01,85,1.0868847
"641",725,1995-05-01,85,1.0919987
"642",726,1995-05-02,42,2.1676037
"643",727,1995-05-02,42,2.0755177
"644",728,1995-05-02,80,1.1038188
"645",729,1995-05-02,73,1.1156099
"646",730,1995-05-02,84,1.069373
"647",731,1995-05-02,74,1.0929718
"648",732,1995-05-03,42,2.056606
"649",733,1995-05-03,42,1.9468117
"650",734,1995-05-03,82,1.0174574
"651",735,1995-05-03,85,1.0235776
"652",736,1995-05-03,86,1.0295899
"653",737,1995-05-03,84,1.0349928
"654",738,1995-05-04,37,2.0571508
"655",740,1995-05-04,72,1.0838318
"656",741,1995-05-04,73,1.0534351
"657",742,1995-05-04,75,1.009731
"658",743,1995-05-04,73,1.0569708
"659",744,1995-05-05,43,1.9790381
"660",745,1995-05-05,43,2.1202633
"661",746,1995-05-05,86,1.0285188
"662",747,1995-05-05,88,0.99600387
"663",748,1995-05-05,87,1.0115014
"664",749,1995-05-05,89,1.0213102
"665",750,1995-05-06,49,1.9935681
"666",751,1995-05-06,44,1.9433159
"667",752,1995-05-06,88,1.0500629
"668",753,1995-05-06,91,0.9688679
"669",754,1995-05-06,94,0.98815703
"670",755,1995-05-06,92,1.0389962
"671",756,1995-05-07,43,2.2400959
"672",757,1995-05-07,37,2.073618
"673",760,1995-05-07,81,1.0974069
"674",761,1995-05-07,82,1.0814642
"675",762,1995-05-08,46,2.1401472
"676",763,1995-05-08,43,2.102612
"677",764,1995-05-08,43,2.0198927
"678",765,1995-05-08,42,1.9729596
"679",766,1995-05-08,86,0.9786897
"680",767,1995-05-08,86,1.0641136
"681",768,1995-05-09,43,1.9127057
"682",769,1995-05-09,47,2.1083765
"683",770,1995-05-09,93,1.0654655
"684",771,1995-05-09,90,0.9722883
"685",772,1995-05-09,89,0.9885253
"686",773,1995-05-09,91,0.9565721
"687",774,1995-05-10,47,2.1351695
"688",775,1995-05-10,44,2.0822728
"689",776,1995-05-10,83,1.1097912
"690",777,1995-05-10,86,1.0320752
"691",778,1995-05-10,84,1.0805917
"692",779,1995-05-10,88,0.9845432
"693",780,1995-05-11,44,1.9538912
"694",781,1995-05-11,44,1.9893607
"695",782,1995-05-11,91,0.9703287
"696",783,1995-05-11,89,1.0701474
"697",784,1995-05-11,87,1.0708877
"698",785,1995-05-11,94,1.0275786
"699",786,1995-05-12,43,1.9941679
"700",787,1995-05-12,45,2.0380666
"701",788,1995-05-12,86,1.0626256
"702",789,1995-05-12,91,0.9850984
"703",790,1995-05-12,88,0.98112416
