"Ticket","SameFamilyCount","PassengerId","Pclass","Name","Sex","Age","SibSp","Parch","Fare","Cabin","Embarked","FamilySize"
"26707",1,1140,2,"Hold, Mrs. Stephen (Annie Margaret Hill)",0,29,1,0,26,"",3,1
"2673",1,1065,3,"Torfa, Mr. Assad",1,30.2727317073171,0,0,7.2292,"",1,0
"2675",1,1229,3,"Elias, Mr. Joseph",1,39,0,2,7.2292,"",1,2
"2676",1,1166,3,"Saade, Mr. Jean Nassr",1,30.2727317073171,0,0,7.225,"",1,0
"2678",1,972,3,"Boulos, Master. Akar",1,6,1,1,15.2458,"",1,2
"2679",1,1129,3,"Baccos, Mr. Raffull",1,20,0,0,7.225,"",1,0
"2680",1,1007,3,"Chronopoulos, Mr. Demetrios",1,18,1,0,14.4542,"",1,1
"2681",1,1008,3,"Thomas, Mr. John",1,30.2727317073171,0,0,6.4375,"",1,0
"2682",1,927,3,"Katavelas, Mr. Vassilios (Catavelas Vassilios\")\"",1,18.5,0,0,7.2292,"",1,0
"2684",1,1224,3,"Thomas, Mr. Tannous",1,30.2727317073171,0,0,7.225,"",1,0
"2688",1,1239,3,"Whabee, Mrs. George Joseph (Shawneene Abi-Saab)",0,38,0,0,7.2292,"",1,0
"2689",1,1258,3,"Caram, Mr. Joseph",1,30.2727317073171,1,0,14.4583,"",1,1
"2692",1,909,3,"Assaf, Mr. Gerios",1,21,0,0,7.225,"",1,0
"2696",1,911,3,"Assaf Khalil, Mrs. Mariana (Miriam\")\"",0,45,0,0,7.225,"",1,0
"2698",1,919,3,"Daher, Mr. Shedid",1,22.5,0,0,7.225,"",1,0
"28004",1,1209,2,"Rogers, Mr. Reginald Harry",1,19,0,0,10.5,"",3,0
"28034",1,1099,2,"Collett, Mr. Sidney C Stuart",1,24,0,0,10.5,"",3,0
"28133",1,1262,2,"Giles, Mr. Edgar",1,21,1,0,11.5,"",3,1
"28220",2,1086,2,"Drew, Master. Marshall Brines",1,8,0,2,32.5,"",3,2
"28220",2,1139,2,"Drew, Mr. James Vivian",1,42,1,1,32.5,"",3,2
"28221",1,1081,2,"Veal, Mr. James",1,40,0,0,13,"",3,0
"28404",1,1150,2,"Bentham, Miss. Lilian W",0,19,0,0,13,"",3,0
"28664",1,1293,2,"Gale, Mr. Harry",1,38,1,0,21,"",3,1
"28666",1,1298,2,"Ware, Mr. William Jeffery",1,23,1,0,10.5,"",3,1
"29103",2,981,2,"Wells, Master. Ralph Lester",1,2,1,1,23,"",3,2
"29103",2,1154,2,"Wells, Mrs. Arthur Henry (Addie\" Dart Trevaskis)\"",0,29,0,2,23,"",3,2
"29105",1,944,2,"Hocking, Miss. Ellen Nellie\"\"",0,20,2,1,23,"",3,3
"29107",1,1269,2,"Cotterill, Mr. Henry Harry\"\"",1,21,0,0,11.5,"",3,0
"2926",1,1169,2,"Faunthorpe, Mr. Harry",1,40,1,0,26,"",3,1
"29750",1,1067,2,"Brown, Miss. Edith Eileen",0,15,0,2,39,"",3,2
"3101266",1,1124,3,"Wiklund, Mr. Karl Johan",1,21,1,0,6.4958,"",3,1
"3101295",1,1259,3,"Riihivouri, Miss. Susanna Juhantytar Sanni\"\"",0,22,0,0,39.6875,"",3,0
"3101297",1,964,3,"Nieminen, Miss. Manta Josefina",0,29,0,0,7.925,"",3,0
"3101298",1,896,3,"Hirvonen, Mrs. Alexander (Helga E Lindqvist)",0,22,1,1,12.2875,"",3,2
"315083",1,1255,3,"Strilic, Mr. Ivan",1,27,0,0,8.6625,"",3,0
"315085",1,1172,3,"Oreskovic, Miss. Jelka",0,23,0,0,8.6625,"",3,0
"315087",1,929,3,"Cacic, Miss. Manda",0,21,0,0,8.6625,"",3,0
"315091",1,1202,3,"Cacic, Mr. Jego Grga",1,18,0,0,8.6625,"",3,0
"315092",1,1195,3,"Pokrnic, Mr. Tome",1,24,0,0,8.6625,"",3,0
"315095",1,1161,3,"Pokrnic, Mr. Mate",1,17,0,0,8.6625,"",3,0
"315152",1,1268,3,"Kink, Miss. Maria",0,22,2,0,8.6625,"",3,2
"315153",2,1057,3,"Kink-Heilmann, Mrs. Anton (Luise Heilmann)",0,26,1,1,22.025,"",3,2
"315153",2,1286,3,"Kink-Heilmann, Mr. Anton",1,29,3,1,22.025,"",3,4
"315154",1,895,3,"Wirz, Mr. Albert",1,27,0,0,8.6625,"",3,0
"32302",1,1111,3,"Thomson, Mr. Alexander Morrison",1,30.2727317073171,0,0,8.05,"",3,0
"329944",1,1005,3,"Buckley, Miss. Katherine",0,18.5,0,0,7.2833,"",2,0
"330844",1,978,3,"Barry, Miss. Julia",0,27,0,0,7.8792,"",2,0
"330910",1,1273,3,"Foley, Mr. Joseph",1,26,0,0,7.8792,"",2,0
"330911",1,892,3,"Kelly, Mr. James",1,34.5,0,0,7.8292,"",2,0
"330920",1,998,3,"Buckley, Mr. Daniel",1,21,0,0,7.8208,"",2,0
"330924",1,1108,3,"Mahon, Miss. Bridget Delia",0,30.2723622047244,0,0,7.8792,"",2,0
"330963",1,958,3,"Burns, Miss. Mary Delia",0,18,0,0,7.8792,"",2,0
"330968",1,1003,3,"Shine, Miss. Ellen Natalia",0,30.2723622047244,0,0,7.7792,"",2,0
"330971",1,1125,3,"Linehan, Mr. Michael",1,30.2727317073171,0,0,7.8792,"",2,0
"330972",1,898,3,"Connolly, Miss. Kate",0,30,0,0,7.6292,"",2,0
"334914",1,955,3,"Bradley, Miss. Bridget Delia",0,22,0,0,7.725,"",2,0
"334915",1,1300,3,"Riordan, Miss. Johanna Hannah\"\"",0,30.2723622047244,0,0,7.7208,"",2,0
"335432",1,1052,3,"Smyth, Miss. Julia",0,30.2723622047244,0,0,7.7333,"",2,0
"33638",2,1185,1,"Dodge, Dr. Washington",1,53,1,1,81.8583,"A34",3,2
"33638",2,1266,1,"Dodge, Mrs. Washington (Ruth Vidaver)",0,54,1,1,81.8583,"A34",3,2
"3410",1,1000,3,"Willer, Mr. Aaron (Abi Weller\")\"",1,30.2727317073171,0,0,8.7125,"",3,0
"342441",1,1021,3,"Petersen, Mr. Marius",1,24,0,0,8.05,"",3,0
"342684",1,1113,3,"Reynolds, Mr. Harold J",1,21,0,0,8.05,"",3,0
"342712",1,928,3,"Roth, Miss. Sarah A",0,30.2723622047244,0,0,8.05,"",3,0
"343271",1,1055,3,"Pearce, Mr. Ernest",1,30.2727317073171,0,0,7,"",3,0
"345498",1,983,3,"Pedersen, Mr. Olaf",1,30.2727317073171,0,0,7.775,"",3,0
"345501",1,1151,3,"Midtsjo, Mr. Karl Albert",1,21,0,0,7.775,"",3,0
"345572",1,1152,3,"de Messemaeker, Mr. Guillaume Joseph",1,36.5,1,0,17.4,"",3,1
"345763",1,1037,3,"Vander Planke, Mr. Julius",1,31,3,0,18,"",3,3
"345768",1,930,3,"Sap, Mr. Julius",1,25,0,0,9.5,"",3,0
"345771",1,1186,3,"Wittevrongel, Mr. Camille",1,36,0,0,9.5,"",3,0
"345775",1,1146,3,"Wenzel, Mr. Linhart",1,32.5,0,0,9.5,"",3,0
"3470",1,1135,3,"Hyman, Mr. Abraham",1,30.2727317073171,0,0,7.8875,"",3,0
"347065",1,1290,3,"Larsson-Rondberg, Mr. Edvard A",1,22,0,0,7.775,"",3,0
"347066",1,1089,3,"Nilsson, Miss. Berta Olivia",0,18,0,0,7.775,"",3,0
"347070",1,995,3,"Johansson Palmquist, Mr. Oskar Leander",1,26,0,0,7.775,"",3,0
"347072",2,982,3,"Dyker, Mrs. Adolf Fredrik (Anna Elisabeth Judith Andersson)",0,22,1,0,13.9,"",3,1
"347072",2,1064,3,"Dyker, Mr. Adolf Fredrik",1,23,1,0,13.9,"",3,1
"347075",1,1212,3,"Andersson, Mr. Johan Samuel",1,26,0,0,7.775,"",3,0
"347077",3,1046,3,"Asplund, Master. Filip Oscar",1,13,4,2,31.3875,"",3,6
"347077",3,1066,3,"Asplund, Mr. Carl Oscar Vilhelm Gustafsson",1,40,1,5,31.3875,"",3,6
"347077",3,1271,3,"Asplund, Master. Carl Edgar",1,5,4,2,31.3875,"",3,6
"347079",1,1192,3,"Olsson, Mr. Oscar Wilhelm",1,32,0,0,7.775,"",3,0
"347080",1,1093,3,"Danbom, Master. Gilbert Sigvard Emanuel",1,0.33,0,2,14.4,"",3,2
"347086",1,1304,3,"Henriksson, Miss. Jenny Lovisa",0,28,0,0,7.775,"",3,0
"347090",1,954,3,"Bjorklund, Mr. Ernst Herbert",1,18,0,0,7.75,"",3,0
"347091",1,1106,3,"Andersson, Miss. Ida Augusta Margareta",0,38,4,2,7.775,"",3,6
"347465",1,1087,3,"Karlsson, Mr. Julius Konrad Eugen",1,33,0,0,7.8542,"",3,0
"347467",1,1191,3,"Johansson, Mr. Nils",1,29,0,0,7.8542,"",3,0
"347469",1,1049,3,"Lundin, Miss. Olga Elida",0,23,0,0,7.8542,"",3,0
"347471",1,990,3,"Braf, Miss. Elin Ester Maria",0,20,0,0,7.8542,"",3,0
"348122",1,949,3,"Abelseth, Mr. Olaus Jorgensen",1,25,0,0,7.65,"F G63",3,0
"348125",1,1237,3,"Abelseth, Miss. Karen Marie",0,16,0,0,7.65,"",3,0
"349202",1,1187,3,"Angheloff, Mr. Minko",1,26,0,0,7.8958,"",3,0
"349211",1,963,3,"Minkoff, Mr. Lazar",1,21,0,0,7.8958,"",3,0
"349220",1,902,3,"Ilieff, Mr. Ylio",1,30.2727317073171,0,0,7.8958,"",3,0
"349226",1,1026,3,"Dintcheff, Mr. Valtcho",1,43,0,0,7.8958,"",3,0
"349229",1,1226,3,"Cor, Mr. Ivan",1,27,0,0,7.8958,"",3,0
"349230",1,948,3,"Cor, Mr. Bartol",1,35,0,0,7.8958,"",3,0
"349232",1,952,3,"Dika, Mr. Mirko",1,17,0,0,7.8958,"",3,0
"349235",1,1157,3,"Lyntakoff, Mr. Stanko",1,30.2727317073171,0,0,7.8958,"",3,0
"349238",1,975,3,"Demetri, Mr. Marinko",1,30.2727317073171,0,0,7.8958,"",3,0
"349250",1,1101,3,"Delalic, Mr. Redjo",1,25,0,0,7.8958,"",3,0
"349255",1,1043,3,"Matinoff, Mr. Nicola",1,30.2727317073171,0,0,7.8958,"",1,0
"349256",1,932,3,"Karun, Mr. Franz",1,39,0,1,13.4167,"",1,1
"349909",1,1281,3,"Palsson, Master. Paul Folke",1,6,3,1,21.075,"",3,4
"349910",1,1251,3,"Lindell, Mrs. Edvard Bengtsson (Elin Gerda Persson)",0,30,1,0,15.55,"",3,1
"349911",1,1278,3,"Aronsson, Mr. Ernst Axel Algot",1,24,0,0,7.775,"",3,0
"350026",1,1201,3,"Hansen, Mrs. Claus Peter (Jennie L Howard)",0,45,1,0,14.1083,"",3,1
"350033",1,987,3,"Tenglin, Mr. Gunnar Isidor",1,25,0,0,7.7958,"",3,0
"350045",1,1018,3,"Brobeck, Mr. Karl Rudolf",1,22,0,0,7.7958,"",3,0
"350053",1,1115,3,"Karlsson, Mr. Einar Gervasius",1,21,0,0,7.7958,"",3,0
"350054",1,1118,3,"Asplund, Mr. Johan Charles",1,23,0,0,7.7958,"",3,0
"350403",1,1233,3,"Lundstrom, Mr. Thure Edvin",1,32,0,0,7.5792,"",3,0
"350405",2,1045,3,"Klasen, Mrs. (Hulda Kristina Eugenia Lofqvist)",0,36,0,2,12.1833,"",3,2
"350405",2,1155,3,"Klasen, Miss. Gertrud Emilia",0,1,1,1,12.1833,"",3,2
"350408",1,1210,3,"Jonsson, Mr. Nils Hilding",1,27,0,0,7.8542,"",3,0
"350409",1,1027,3,"Carlsson, Mr. Carl Robert",1,24,0,0,7.8542,"",3,0
"350410",1,1153,3,"Nilsson, Mr. August Ferdinand",1,21,0,0,7.8542,"",3,0
"350416",1,1127,3,"Vendel, Mr. Olof Edvin",1,20,0,0,7.8542,"",3,0
"359306",1,968,3,"Miles, Mr. Frank",1,30.2727317073171,0,0,8.05,"",3,0
"359309",1,1308,3,"Ware, Mr. Frederick",1,30.2727317073171,0,0,8.05,"",3,0
"363272",1,893,3,"Wilkes, Mrs. James (Ellen Needs)",0,47,1,0,7,"",3,1
"363611",1,1149,3,"Niklasson, Mr. Samuel",1,28,0,0,8.05,"",3,0
"364498",1,1274,3,"Risien, Mrs. Samuel (Emma)",0,30.2723622047244,0,0,14.5,"",3,0
"364856",1,980,3,"O'Donoghue, Ms. Bridget",0,30.2723622047244,0,0,7.75,"",2,0
"364858",1,1280,3,"Canavan, Mr. Patrick",1,21,0,0,7.75,"",2,0
"364859",1,1174,3,"Fleming, Miss. Honora",0,30.2723622047244,0,0,7.75,"",2,0
"365235",1,994,3,"Foley, Mr. William",1,30.2727317073171,0,0,7.75,"",2,0
"365237",1,1302,3,"Naughton, Miss. Hannah",0,30.2723622047244,0,0,7.75,"",2,0
"36568",1,1092,3,"Murphy, Miss. Nora",0,30.2723622047244,0,0,15.5,"",2,0
"366713",1,1272,3,"O'Connor, Mr. Patrick",1,30.2727317073171,0,0,7.75,"",2,0
"367226",1,1019,3,"McCoy, Miss. Alicia",0,30.2723622047244,2,0,23.25,"",2,2
"367227",1,1013,3,"Kiernan, Mr. John",1,30.2727317073171,1,0,7.75,"",2,1
"368364",1,1205,3,"Carr, Miss. Jeannie",0,37,0,0,7.75,"",2,0
"368402",1,1250,3,"O'Keefe, Mr. Patrick",1,30.2727317073171,0,0,7.75,"",2,0
"368573",1,1163,3,"Fox, Mr. Patrick",1,30.2727317073171,0,0,7.75,"",2,0
"368702",1,971,3,"Doyle, Miss. Elizabeth",0,24,0,0,7.75,"",2,0
"368783",1,1016,3,"Kennedy, Mr. John",1,30.2727317073171,0,0,7.75,"",2,0
"36928",2,1109,1,"Wick, Mr. George Dennick",1,57,1,1,164.8667,"",3,2
"36928",2,1292,1,"Bonnell, Miss. Caroline",0,30,0,0,164.8667,"C7",3,0
"3701",1,1044,3,"Storey, Mr. Thomas",1,60.5,0,0,NA,"",3,0
"370129",1,1176,3,"Rosblom, Miss. Salli Helena",0,2,1,1,20.2125,"",3,2
"370368",1,1119,3,"McNeill, Miss. Bridget",0,30.2723622047244,0,0,7.75,"",2,0
"370371",1,1165,3,"Lennon, Miss. Mary",0,30.2723622047244,1,0,15.5,"",2,1
"370374",1,939,3,"Shaughnessy, Mr. Patrick",1,30.2727317073171,0,0,7.75,"",2,0
"371109",1,1288,3,"Colbert, Mr. Patrick",1,24,0,0,7.25,"",2,0
"371362",1,1017,3,"Cribb, Miss. Laura Alice",0,17,0,1,16.1,"",3,1
"376563",1,985,3,"Guest, Mr. Robert",1,30.2727317073171,0,0,8.05,"",3,0
"376566",1,1275,3,"McNamee, Mrs. Neal (Eileen O'Leary)",0,19,1,0,16.1,"",3,1
"382650",1,1183,3,"Daly, Miss. Margaret Marcella Maggie\"\"",0,30,0,0,6.95,"",2,0
